,Date,Rainfall(mm),longitude,latitude,Flood,Location,
17,02/06/2018,12.45396709,34.86703055,0.560572991,0,Malava,FALSE
18,02/06/2018,2.978755951,34.13023931,-0.156918086,0,Malava,
19,02/06/2018,8.849316597,34.59165955,0.455656771,0,#N/A,
20,02/06/2018,0,34.35742608,-0.495278195,0,#N/A,
21,02/06/2018,5.55414772,34.73340616,-0.453486619,0,#N/A,
22,02/06/2018,9.556207657,34.92949821,-0.206162957,0,#N/A,
23,02/06/2018,7.517659664,34.80859279,-0.579488831,0,#N/A,
24,02/06/2018,5.437488079,34.29496188,-1.088005716,0,#N/A,
25,02/06/2018,7.097809792,34.18118989,0.789089059,0,#N/A,
26,02/06/2018,0,34.16751349,-0.546721803,0,#N/A,
27,02/06/2018,0,34.70947811,-0.82685757,0,#N/A,
28,02/06/2018,11.04771328,34.74104125,0.408738807,0,#N/A,
29,02/06/2018,5.39095068,34.83441895,-0.111715421,0,#N/A,
30,02/06/2018,8.985495567,34.47014756,0.355026574,0,#N/A,
32,11/04/2019,0,34.86703055,0.560572991,0,#N/A,
33,11/04/2019,0,34.13023931,-0.156918086,0,#N/A,
34,11/04/2019,3.407176256,34.59165955,0.455656771,0,#N/A,
35,11/04/2019,0,34.35742608,-0.495278195,0,#N/A,
36,11/04/2019,0,34.73340616,-0.453486619,0,#N/A,
37,11/04/2019,0,34.92949821,-0.206162957,0,#N/A,
38,11/04/2019,0,34.80859279,-0.579488831,0,#N/A,
39,11/04/2019,6.917235851,34.29496188,-1.088005716,0,#N/A,
40,11/04/2019,0,34.18118989,0.789089059,0,#N/A,
41,11/04/2019,5.526120663,34.16751349,-0.546721803,0,#N/A,
42,11/04/2019,8.565346718,34.70947811,-0.82685757,0,#N/A,
43,11/04/2019,3.890977144,34.74104125,0.408738807,0,#N/A,
44,11/04/2019,0,34.83441895,-0.111715421,0,#N/A,
45,11/04/2019,3.708629847,34.47014756,0.355026574,0,#N/A,
62,04/09/2020,0,34.86703055,0.560572991,0,#N/A,
63,04/09/2020,8.970533371,34.13023931,-0.156918086,0,#N/A,
64,04/09/2020,6.359888554,34.59165955,0.455656771,0,#N/A,
65,04/09/2020,0,34.35742608,-0.495278195,0,#N/A,
66,04/09/2020,0,34.73340616,-0.453486619,0,#N/A,
67,04/09/2020,0,34.92949821,-0.206162957,0,#N/A,
68,04/09/2020,0,34.80859279,-0.579488831,0,#N/A,
69,04/09/2020,0,34.29496188,-1.088005716,0,#N/A,
70,04/09/2020,7.552643776,34.18118989,0.789089059,0,#N/A,
71,04/09/2020,0,34.16751349,-0.546721803,0,#N/A,
72,04/09/2020,5.565465927,34.70947811,-0.82685757,0,#N/A,
73,04/09/2020,6.492399693,34.74104125,0.408738807,0,#N/A,
74,04/09/2020,9.209307671,34.83441895,-0.111715421,0,#N/A,
75,04/09/2020,8.945122719,34.47014756,0.355026574,0,#N/A,
77,26/04/2014,4.0730896,34.86703055,0.560572991,0,#N/A,
78,26/04/2014,0,34.13023931,-0.156918086,0,#N/A,
79,26/04/2014,2.791490078,34.59165955,0.455656771,0,#N/A,
80,26/04/2014,0,34.35742608,-0.495278195,0,#N/A,
81,26/04/2014,9.989325523,34.73340616,-0.453486619,0,#N/A,
82,26/04/2014,0,34.92949821,-0.206162957,0,#N/A,
83,26/04/2014,16.04486084,34.80859279,-0.579488831,0,#N/A,
84,26/04/2014,0,34.29496188,-1.088005716,0,#N/A,
85,26/04/2014,0,34.18118989,0.789089059,0,#N/A,
86,26/04/2014,0,34.16751349,-0.546721803,0,#N/A,
87,26/04/2014,11.13919163,34.70947811,-0.82685757,0,#N/A,
88,26/04/2014,5.175631046,34.74104125,0.408738807,0,#N/A,
89,26/04/2014,0,34.83441895,-0.111715421,0,#N/A,
90,26/04/2014,3.730577946,34.47014756,0.355026574,0,#N/A,
91,13/01/2012,0,34.47014756,0.355026574,0,#N/A,
106,09/05/2020,8.773789406,34.47014756,0.355026574,0,#N/A,
152,21/06/2015,0,34.86703055,0.560572991,0,#N/A,
153,21/06/2015,7.836140633,34.13023931,-0.156918086,0,#N/A,
154,21/06/2015,0,34.59165955,0.455656771,0,#N/A,
155,21/06/2015,3.115667343,34.35742608,-0.495278195,0,#N/A,
156,21/06/2015,4.218269348,34.73340616,-0.453486619,0,#N/A,
157,21/06/2015,3.692756891,34.92949821,-0.206162957,0,#N/A,
158,21/06/2015,0,34.80859279,-0.579488831,0,#N/A,
159,21/06/2015,0,34.29496188,-1.088005716,0,#N/A,
160,21/06/2015,0,34.18118989,0.789089059,0,#N/A,
161,21/06/2015,0,34.16751349,-0.546721803,0,#N/A,
162,21/06/2015,0,34.70947811,-0.82685757,0,#N/A,
163,21/06/2015,0,34.74104125,0.408738807,0,#N/A,
164,21/06/2015,4.911774158,34.83441895,-0.111715421,0,#N/A,
165,21/06/2015,4.489952087,34.47014756,0.355026574,0,#N/A,
166,22/01/2017,0,34.47014756,0.355026574,0,#N/A,
181,13/10/2016,0,34.47014756,0.355026574,0,#N/A,
196,17/02/2019,4.427663803,34.47014756,0.355026574,0,#N/A,
197,10/09/2020,9.915902138,34.86703055,0.560572991,0,#N/A,
198,10/09/2020,0,34.13023931,-0.156918086,0,#N/A,
199,10/09/2020,10.03628635,34.59165955,0.455656771,0,#N/A,
200,10/09/2020,0,34.35742608,-0.495278195,0,#N/A,
201,10/09/2020,0,34.73340616,-0.453486619,0,#N/A,
202,10/09/2020,0,34.92949821,-0.206162957,0,#N/A,
203,10/09/2020,15.53695965,34.80859279,-0.579488831,0,#N/A,
204,10/09/2020,0,34.29496188,-1.088005716,0,#N/A,
205,10/09/2020,0,34.18118989,0.789089059,0,#N/A,
206,10/09/2020,0,34.16751349,-0.546721803,0,#N/A,
207,10/09/2020,0,34.70947811,-0.82685757,0,#N/A,
208,10/09/2020,14.61333466,34.74104125,0.408738807,0,#N/A,
209,10/09/2020,7.542212486,34.83441895,-0.111715421,0,#N/A,
210,10/09/2020,9.773328781,34.47014756,0.355026574,0,#N/A,
211,23/09/2013,9.427677155,34.47014756,0.355026574,0,#N/A,
212,16/06/2018,28.02143478,34.86703055,0.560572991,0,#N/A,
213,16/06/2018,0,34.13023931,-0.156918086,0,#N/A,
214,16/06/2018,5.71857357,34.59165955,0.455656771,0,#N/A,
215,16/06/2018,0,34.35742608,-0.495278195,0,#N/A,
216,16/06/2018,0,34.73340616,-0.453486619,0,#N/A,
217,16/06/2018,17.05404282,34.92949821,-0.206162957,0,#N/A,
218,16/06/2018,7.02458477,34.80859279,-0.579488831,0,#N/A,
219,16/06/2018,0,34.29496188,-1.088005716,0,#N/A,
220,16/06/2018,0,34.18118989,0.789089059,0,#N/A,
221,16/06/2018,0,34.16751349,-0.546721803,0,#N/A,
222,16/06/2018,0,34.70947811,-0.82685757,0,#N/A,
223,16/06/2018,20.20924759,34.74104125,0.408738807,0,#N/A,
224,16/06/2018,16.56544685,34.83441895,-0.111715421,0,#N/A,
225,16/06/2018,0,34.47014756,0.355026574,0,#N/A,
226,20/03/2017,5.37064743,34.47014756,0.355026574,0,#N/A,
241,02/10/2017,0,34.47014756,0.355026574,0,#N/A,
242,05/04/2019,0,34.86703055,0.560572991,0,#N/A,
243,05/04/2019,0,34.13023931,-0.156918086,0,#N/A,
244,05/04/2019,0,34.59165955,0.455656771,0,#N/A,
245,05/04/2019,0,34.35742608,-0.495278195,0,#N/A,
246,05/04/2019,0,34.73340616,-0.453486619,0,#N/A,
247,05/04/2019,0,34.92949821,-0.206162957,0,#N/A,
248,05/04/2019,0,34.80859279,-0.579488831,0,#N/A,
249,05/04/2019,0,34.29496188,-1.088005716,0,#N/A,
250,05/04/2019,0,34.18118989,0.789089059,0,#N/A,
251,05/04/2019,0,34.16751349,-0.546721803,0,#N/A,
252,05/04/2019,0,34.70947811,-0.82685757,0,#N/A,
253,05/04/2019,0,34.74104125,0.408738807,0,#N/A,
254,05/04/2019,0,34.83441895,-0.111715421,0,#N/A,
255,05/04/2019,0,34.47014756,0.355026574,0,#N/A,
286,08/11/2019,6.046482563,34.47014756,0.355026574,0,#N/A,
301,01/12/2017,0,34.47014756,0.355026574,0,#N/A,
302,09/06/2015,0,34.86703055,0.560572991,0,#N/A,
303,09/06/2015,0,34.13023931,-0.156918086,0,#N/A,
304,09/06/2015,0,34.59165955,0.455656771,0,#N/A,
305,09/06/2015,0,34.35742608,-0.495278195,0,#N/A,
306,09/06/2015,0,34.73340616,-0.453486619,0,#N/A,
307,09/06/2015,0,34.92949821,-0.206162957,0,#N/A,
308,09/06/2015,8.927962303,34.80859279,-0.579488831,0,#N/A,
309,09/06/2015,3.895931482,34.29496188,-1.088005716,0,#N/A,
310,09/06/2015,16.73442459,34.18118989,0.789089059,0,#N/A,
311,09/06/2015,0,34.16751349,-0.546721803,0,#N/A,
312,09/06/2015,0,34.70947811,-0.82685757,0,#N/A,
313,09/06/2015,0,34.74104125,0.408738807,0,#N/A,
314,09/06/2015,0,34.83441895,-0.111715421,0,#N/A,
315,09/06/2015,14.83503151,34.47014756,0.355026574,0,#N/A,
316,14/07/2012,5.482208252,34.47014756,0.355026574,0,#N/A,
317,12/09/2016,0,34.86703055,0.560572991,0,#N/A,
318,12/09/2016,0,34.13023931,-0.156918086,0,#N/A,
319,12/09/2016,0,34.59165955,0.455656771,0,#N/A,
320,12/09/2016,0,34.35742608,-0.495278195,0,#N/A,
321,12/09/2016,0,34.73340616,-0.453486619,0,#N/A,
322,12/09/2016,0,34.92949821,-0.206162957,0,#N/A,
323,12/09/2016,0,34.80859279,-0.579488831,0,#N/A,
324,12/09/2016,0,34.29496188,-1.088005716,0,#N/A,
325,12/09/2016,0,34.18118989,0.789089059,0,#N/A,
326,12/09/2016,0,34.16751349,-0.546721803,0,#N/A,
327,12/09/2016,0,34.70947811,-0.82685757,0,#N/A,
328,12/09/2016,0,34.74104125,0.408738807,0,#N/A,
329,12/09/2016,0,34.83441895,-0.111715421,0,#N/A,
330,12/09/2016,4.560339928,34.47014756,0.355026574,0,#N/A,
331,13/05/2013,0,34.47014756,0.355026574,0,#N/A,
347,06/09/2016,0,34.86703055,0.560572991,0,#N/A,
348,06/09/2016,0,34.13023931,-0.156918086,0,#N/A,
349,06/09/2016,0,34.59165955,0.455656771,0,#N/A,
350,06/09/2016,0,34.35742608,-0.495278195,0,#N/A,
351,06/09/2016,11.6447916,34.73340616,-0.453486619,0,#N/A,
352,06/09/2016,0,34.92949821,-0.206162957,0,#N/A,
353,06/09/2016,14.44474792,34.80859279,-0.579488831,0,#N/A,
354,06/09/2016,0,34.29496188,-1.088005716,0,#N/A,
355,06/09/2016,0,34.18118989,0.789089059,0,#N/A,
356,06/09/2016,0,34.16751349,-0.546721803,0,#N/A,
357,06/09/2016,16.64117241,34.70947811,-0.82685757,0,#N/A,
358,06/09/2016,0,34.74104125,0.408738807,0,#N/A,
359,06/09/2016,0,34.83441895,-0.111715421,0,#N/A,
360,06/09/2016,0,34.47014756,0.355026574,0,#N/A,
391,09/08/2019,0,34.47014756,0.355026574,0,#N/A,
392,19/08/2018,5.165175915,34.86703055,0.560572991,0,#N/A,
393,19/08/2018,3.488569975,34.13023931,-0.156918086,0,#N/A,
394,19/08/2018,4.5613904,34.59165955,0.455656771,0,#N/A,
395,19/08/2018,2.705775738,34.35742608,-0.495278195,0,#N/A,
396,19/08/2018,3.361363888,34.73340616,-0.453486619,0,#N/A,
397,19/08/2018,2.584505796,34.92949821,-0.206162957,0,#N/A,
398,19/08/2018,3.510589361,34.80859279,-0.579488831,0,#N/A,
399,19/08/2018,0.558356106,34.29496188,-1.088005716,0,#N/A,
400,19/08/2018,4.801463127,34.18118989,0.789089059,0,#N/A,
401,19/08/2018,1.246816039,34.16751349,-0.546721803,0,#N/A,
402,19/08/2018,4.02103281,34.70947811,-0.82685757,0,#N/A,
403,19/08/2018,5.311142921,34.74104125,0.408738807,0,#N/A,
404,19/08/2018,3.252051353,34.83441895,-0.111715421,0,#N/A,
405,19/08/2018,4.345448971,34.47014756,0.355026574,0,#N/A,
421,01/04/2018,10.58542538,34.47014756,0.355026574,0,#N/A,
436,21/12/2013,0,34.47014756,0.355026574,0,#N/A,
466,08/06/2015,0,34.47014756,0.355026574,0,#N/A,
467,11/03/2012,0,34.86703055,0.560572991,0,#N/A,
468,11/03/2012,0,34.13023931,-0.156918086,0,#N/A,
469,11/03/2012,0,34.59165955,0.455656771,0,#N/A,
470,11/03/2012,0,34.35742608,-0.495278195,0,#N/A,
471,11/03/2012,0,34.73340616,-0.453486619,0,#N/A,
472,11/03/2012,0,34.92949821,-0.206162957,0,#N/A,
473,11/03/2012,0,34.80859279,-0.579488831,0,#N/A,
474,11/03/2012,0,34.29496188,-1.088005716,0,#N/A,
475,11/03/2012,0,34.18118989,0.789089059,0,#N/A,
476,11/03/2012,0,34.16751349,-0.546721803,0,#N/A,
477,11/03/2012,0,34.70947811,-0.82685757,0,#N/A,
478,11/03/2012,0,34.74104125,0.408738807,0,#N/A,
479,11/03/2012,0,34.83441895,-0.111715421,0,#N/A,
480,11/03/2012,0,34.47014756,0.355026574,0,#N/A,
482,02/01/2013,0,34.86703055,0.560572991,0,#N/A,
483,02/01/2013,0,34.13023931,-0.156918086,0,#N/A,
484,02/01/2013,0,34.59165955,0.455656771,0,#N/A,
485,02/01/2013,2.538948536,34.35742608,-0.495278195,0,#N/A,
486,02/01/2013,0,34.73340616,-0.453486619,0,#N/A,
487,02/01/2013,0,34.92949821,-0.206162957,0,#N/A,
488,02/01/2013,7.804526806,34.80859279,-0.579488831,0,#N/A,
489,02/01/2013,0,34.29496188,-1.088005716,0,#N/A,
490,02/01/2013,0,34.18118989,0.789089059,0,#N/A,
491,02/01/2013,4.595782757,34.16751349,-0.546721803,0,#N/A,
492,02/01/2013,0,34.70947811,-0.82685757,0,#N/A,
493,02/01/2013,6.678126812,34.74104125,0.408738807,0,#N/A,
494,02/01/2013,0,34.83441895,-0.111715421,0,#N/A,
495,02/01/2013,5.869362831,34.47014756,0.355026574,0,#N/A,
497,26/05/2017,0,34.86703055,0.560572991,0,#N/A,
498,26/05/2017,0,34.13023931,-0.156918086,0,#N/A,
499,26/05/2017,17.38963318,34.59165955,0.455656771,0,#N/A,
500,26/05/2017,0,34.35742608,-0.495278195,0,#N/A,
501,26/05/2017,0,34.73340616,-0.453486619,0,#N/A,
502,26/05/2017,0,34.92949821,-0.206162957,0,#N/A,
503,26/05/2017,0,34.80859279,-0.579488831,0,#N/A,
504,26/05/2017,0,34.29496188,-1.088005716,0,#N/A,
505,26/05/2017,0,34.18118989,0.789089059,0,#N/A,
506,26/05/2017,0,34.16751349,-0.546721803,0,#N/A,
507,26/05/2017,0,34.70947811,-0.82685757,0,#N/A,
508,26/05/2017,0,34.74104125,0.408738807,0,#N/A,
509,26/05/2017,0,34.83441895,-0.111715421,0,#N/A,
510,26/05/2017,11.0508461,34.47014756,0.355026574,0,#N/A,
511,19/04/2014,0,34.47014756,0.355026574,0,#N/A,
526,12/03/2012,0,34.47014756,0.355026574,0,#N/A,
527,05/03/2012,0,34.86703055,0.560572991,0,#N/A,
528,05/03/2012,9.936182022,34.13023931,-0.156918086,0,#N/A,
529,05/03/2012,17.35839462,34.59165955,0.455656771,0,#N/A,
530,05/03/2012,11.05212021,34.35742608,-0.495278195,0,#N/A,
531,05/03/2012,12.56717396,34.73340616,-0.453486619,0,#N/A,
532,05/03/2012,24.39124107,34.92949821,-0.206162957,0,#N/A,
533,05/03/2012,15.09461308,34.80859279,-0.579488831,0,#N/A,
534,05/03/2012,7.944067478,34.29496188,-1.088005716,0,#N/A,
535,05/03/2012,5.943143368,34.18118989,0.789089059,0,#N/A,
536,05/03/2012,6.622412682,34.16751349,-0.546721803,0,#N/A,
537,05/03/2012,6.758220673,34.70947811,-0.82685757,0,#N/A,
538,05/03/2012,8.486494064,34.74104125,0.408738807,0,#N/A,
539,05/03/2012,17.26867294,34.83441895,-0.111715421,0,#N/A,
540,05/03/2012,18.08122063,34.47014756,0.355026574,0,#N/A,
541,24/10/2012,8.991857529,34.47014756,0.355026574,0,#N/A,
557,16/01/2013,0,34.86703055,0.560572991,0,#N/A,
558,16/01/2013,0,34.13023931,-0.156918086,0,#N/A,
559,16/01/2013,0,34.59165955,0.455656771,0,#N/A,
560,16/01/2013,0,34.35742608,-0.495278195,0,#N/A,
561,16/01/2013,0,34.73340616,-0.453486619,0,#N/A,
562,16/01/2013,0,34.92949821,-0.206162957,0,#N/A,
563,16/01/2013,5.584811211,34.80859279,-0.579488831,0,#N/A,
564,16/01/2013,2.063499451,34.29496188,-1.088005716,0,#N/A,
565,16/01/2013,0,34.18118989,0.789089059,0,#N/A,
566,16/01/2013,0,34.16751349,-0.546721803,0,#N/A,
567,16/01/2013,0,34.70947811,-0.82685757,0,#N/A,
568,16/01/2013,0,34.74104125,0.408738807,0,#N/A,
569,16/01/2013,0,34.83441895,-0.111715421,0,#N/A,
570,16/01/2013,0,34.47014756,0.355026574,0,#N/A,
571,27/06/2014,0,34.47014756,0.355026574,0,#N/A,
572,08/12/2013,0,34.86703055,0.560572991,0,#N/A,
573,08/12/2013,4.304833412,34.13023931,-0.156918086,0,#N/A,
574,08/12/2013,0,34.59165955,0.455656771,0,#N/A,
575,08/12/2013,0,34.35742608,-0.495278195,0,#N/A,
576,08/12/2013,0,34.73340616,-0.453486619,0,#N/A,
577,08/12/2013,0,34.92949821,-0.206162957,0,#N/A,
578,08/12/2013,0,34.80859279,-0.579488831,0,#N/A,
579,08/12/2013,0,34.29496188,-1.088005716,0,#N/A,
580,08/12/2013,0,34.18118989,0.789089059,0,#N/A,
581,08/12/2013,0,34.16751349,-0.546721803,0,#N/A,
582,08/12/2013,0,34.70947811,-0.82685757,0,#N/A,
583,08/12/2013,0,34.74104125,0.408738807,0,#N/A,
584,08/12/2013,0,34.83441895,-0.111715421,0,#N/A,
585,08/12/2013,0,34.47014756,0.355026574,0,#N/A,
587,21/07/2016,14.6229496,34.86703055,0.560572991,0,#N/A,
588,21/07/2016,0,34.13023931,-0.156918086,0,#N/A,
589,21/07/2016,19.81062698,34.59165955,0.455656771,0,#N/A,
590,21/07/2016,10.02854443,34.35742608,-0.495278195,0,#N/A,
591,21/07/2016,9.926819801,34.73340616,-0.453486619,0,#N/A,
592,21/07/2016,0,34.92949821,-0.206162957,0,#N/A,
593,21/07/2016,6.659296513,34.80859279,-0.579488831,0,#N/A,
594,21/07/2016,0,34.29496188,-1.088005716,0,#N/A,
595,21/07/2016,0,34.18118989,0.789089059,0,#N/A,
596,21/07/2016,7.34632349,34.16751349,-0.546721803,0,#N/A,
597,21/07/2016,13.23505497,34.70947811,-0.82685757,0,#N/A,
598,21/07/2016,23.11073494,34.74104125,0.408738807,0,#N/A,
599,21/07/2016,0,34.83441895,-0.111715421,0,#N/A,
600,21/07/2016,26.58174706,34.47014756,0.355026574,0,#N/A,
631,04/11/2015,13.45968056,34.47014756,0.355026574,0,#N/A,
646,02/07/2012,6.892048836,34.47014756,0.355026574,0,#N/A,
647,25/08/2018,11.7493,34.86703055,0.560572991,0,#N/A,
648,25/08/2018,0,34.13023931,-0.156918086,0,#N/A,
649,25/08/2018,9.77157402,34.59165955,0.455656771,0,#N/A,
650,25/08/2018,0,34.35742608,-0.495278195,0,#N/A,
651,25/08/2018,0,34.73340616,-0.453486619,0,#N/A,
652,25/08/2018,0,34.92949821,-0.206162957,0,#N/A,
653,25/08/2018,7.357529163,34.80859279,-0.579488831,0,#N/A,
654,25/08/2018,0,34.29496188,-1.088005716,0,#N/A,
655,25/08/2018,0,34.18118989,0.789089059,0,#N/A,
656,25/08/2018,0,34.16751349,-0.546721803,0,#N/A,
657,25/08/2018,0,34.70947811,-0.82685757,0,#N/A,
658,25/08/2018,14.74883652,34.74104125,0.408738807,0,#N/A,
659,25/08/2018,5.849288464,34.83441895,-0.111715421,0,#N/A,
660,25/08/2018,12.22593689,34.47014756,0.355026574,0,#N/A,
661,09/01/2017,0,34.47014756,0.355026574,0,#N/A,
707,23/07/2020,0,34.86703055,0.560572991,0,#N/A,
708,23/07/2020,0,34.13023931,-0.156918086,0,#N/A,
709,23/07/2020,0,34.59165955,0.455656771,0,#N/A,
710,23/07/2020,0,34.35742608,-0.495278195,0,#N/A,
711,23/07/2020,0,34.73340616,-0.453486619,0,#N/A,
712,23/07/2020,0,34.92949821,-0.206162957,0,#N/A,
713,23/07/2020,0,34.80859279,-0.579488831,0,#N/A,
714,23/07/2020,0,34.29496188,-1.088005716,0,#N/A,
715,23/07/2020,0,34.18118989,0.789089059,0,#N/A,
716,23/07/2020,0,34.16751349,-0.546721803,0,#N/A,
717,23/07/2020,0,34.70947811,-0.82685757,0,#N/A,
718,23/07/2020,0,34.74104125,0.408738807,0,#N/A,
719,23/07/2020,0,34.83441895,-0.111715421,0,#N/A,
720,23/07/2020,0,34.47014756,0.355026574,0,#N/A,
722,12/08/2015,0,34.86703055,0.560572991,0,#N/A,
723,12/08/2015,0,34.13023931,-0.156918086,0,#N/A,
724,12/08/2015,0,34.59165955,0.455656771,0,#N/A,
725,12/08/2015,0,34.35742608,-0.495278195,0,#N/A,
726,12/08/2015,0,34.73340616,-0.453486619,0,#N/A,
727,12/08/2015,2.652402639,34.92949821,-0.206162957,0,#N/A,
728,12/08/2015,0,34.80859279,-0.579488831,0,#N/A,
