,field_1,Id,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Location,Latitude,Longitude,Origin,Associated Dis2,Dis Mag Value,Dis Mag Scale,River Basin,Start Year,Start Month,Start Day,Start Date,End Year,End Month,End Day,End Date,Total Deaths,No Homeless,Total Affected,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,cartodb_id,iso_2,name_0,gid_1,name_1,nl_name_1,gid_2,name_2,varname_2,nl_name_2,type_2,engtype_2,cc_2,hasc_2,bbox,centroid,area,area_ha,gid_0,LONGIT,LATIT\
153,1530,1876,2011-0504-KEN,2011,504,FL-2011-000184,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Busia, Kakamega districts (Western province), Siaya, Kisumu, Rachuonyo, Central Kisii districts (Nyanza province), Tana River district (Coast province), Baringo, Keiyo, West Pokot, Samburu, Marakwet districts (Rift Valley province), Moyale, Marsabit, Isiolo districts (Eastern province), Wajir district (North Eastern province), Muranga district (Central province)",0.455656771,34.83441895,Heavy raisn and storms,,9789,Km2,,2011,11,29,29/11/2011,2011,12,22,22/12/2011,25,0,91692,2,,51336;51346;51348;51352;51357;51364;51366;51369;51374;51375;51377;51381;51385;51389;51394;51396;51398, Kakamega,20650,KEN,Kenya,KEN.11_1,Kakamega,,KEN.11.6_1,Malava,,,Constituency,Constituency,201,,"{""type"":""Polygon"",""coordinates"":[[[34.70991516,0.33959889],[34.70991516,0.60891837],[34.95658875,0.60891837],[34.95658875,0.33959889],[34.70991516,0.33959889]]]}","{""type"":""Point"",""coordinates"":[34.8344189472831,0.455656771238155]}",425732270.4,42285.54467,KEN,34.83441895,0.455656771
154,1531,2658,2020-0164-KEN,2020,164,,Natural,Hydrological,Flood,,Kenya,KEN,Eastern Africa,"West Pokot, Elgeyo Marakwet, Kisumu, Homabay, Tana River, Garissa, Kilifi, Kirinyaga, Siaya, Kakamega, Bomet, Nairobi counties",0.455656771,34.83441895,Heavy rains,,154390,Km2,,2020,4,18,18/04/2020,2020,6,1,01/06/2020,285,0,810655,2,,51334;51340;51346;51360;51361;51368;51369;51375;51378;51385;51394;51398, Kakamega,20650,KEN,Kenya,KEN.11_1,Kakamega,,KEN.11.6_1,Malava,,,Constituency,Constituency,201,,"{""type"":""Polygon"",""coordinates"":[[[34.70991516,0.33959889],[34.70991516,0.60891837],[34.95658875,0.60891837],[34.95658875,0.33959889],[34.70991516,0.33959889]]]}","{""type"":""Point"",""coordinates"":[34.8344189472831,0.455656771238155]}",425732270.4,42285.54467,KEN,34.83441895,0.455656771
158,1474,2158,2015-0564-KEN,2015,564,FL-2015-000169,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Mt Elgon, Busia, Bungoma districts (Western province), Kirinyaga district (Central province), Kisumu district (Nyanza province), Tana River district (Coast province), Marsabit, Isiolo, Machakos districts (Eastern province), Mandera, Wajir districts (North Eastern province), Narok, Nandi North, Nandi South, Trans Nzoia districts (Rift Valley province)",0.789089059,34.73340616,Heavy rains,,103770,Km2,"Garissa, Tana, Nyando, Kilifi, Nzoia rivers",2015,12,1,01/12/2015,2016,1,6,06/01/2016,112,0,240799,2,,51334;51346;51348;51350;51352;51363;51364;51369;51388;51391;51395;51396;51400;68769;68770,Bungoma,20600,KEN,Kenya,KEN.3_1,Bungoma,,KEN.3.4_1,Kimilili,,,Constituency,Constituency,223,,"{""type"":""Polygon"",""coordinates"":[[[34.64166641,0.72191232],[34.64166641,0.86174214],[34.81928635,0.86174214],[34.81928635,0.72191232],[34.64166641,0.72191232]]]}","{""type"":""Point"",""coordinates"":[34.7334061581899,0.789089059144986]}",178728431.8,17749.86849,KEN,34.73340616,0.789089059
337,2249,1895,2011-0504-KEN,2011,504,FL-2011-000184,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Busia, Kakamega districts (Western province), Siaya, Kisumu, Rachuonyo, Central Kisii districts (Nyanza province), Tana River district (Coast province), Baringo, Keiyo, West Pokot, Samburu, Marakwet districts (Rift Valley province), Moyale, Marsabit, Isiolo districts (Eastern province), Wajir district (North Eastern province), Muranga district (Central province)",0.82685757,34.80859279,Heavy raisn and storms,,9789,Km2,,2011,11,29,29/11/2011,2011,12,22,22/12/2011,25,0,91692,2,,51336;51346;51348;51352;51357;51364;51366;51369;51374;51375;51377;51381;51385;51389;51394;51396;51398, Central Kisii,20685,KEN,Kenya,KEN.16_1,Kisii,,KEN.16.1_1,Bobasi,,,Constituency,Constituency,264,,"{""type"":""Polygon"",""coordinates"":[[[34.71281433,-0.92952615],[34.71281433,-0.70099831],[34.9173584,-0.70099831],[34.9173584,-0.92952615],[34.71281433,-0.92952615]]]}","{""type"":""Point"",""coordinates"":[34.808592792652,-0.826857570256213]}",242245370,24057.40432,KEN,34.80859279,0.82685757
338,2250,2183,2015-0159-KEN,2015,159,FL-2015-000049,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Narok district (Rift Valley province), Kisumu, Central Kisii, Homa Bay districts (Nyanza province), Nairobi district (Nairobi province)",0.82685757,34.80859279,Heavy rains,,20432,Km2,,2015,4,27,27/04/2015,2015,5,2,02/05/2015,13,0,3000,2,,51360;51366;51368;51369;51388,Central Kisii,20685,KEN,Kenya,KEN.16_1,Kisii,,KEN.16.1_1,Bobasi,,,Constituency,Constituency,264,,"{""type"":""Polygon"",""coordinates"":[[[34.71281433,-0.92952615],[34.71281433,-0.70099831],[34.9173584,-0.70099831],[34.9173584,-0.92952615],[34.71281433,-0.92952615]]]}","{""type"":""Point"",""coordinates"":[34.808592792652,-0.826857570256213]}",242245370,24057.40432,KEN,34.80859279,0.82685757
435,100,1096,2006-0234-KEN,2006,234,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nyanza, Coast, Western provinces",0.408738807,34.16751349,Heavy rain,,0,Km2,,2006,4,25,25/04/2006,2006,5,4,04/05/2006,8,0,13000,1,51326;51330;51332,,Western,20611,KEN,Kenya,KEN.4_1,Busia,,KEN.4.4_1,Matayos,,,Constituency,Constituency,228,,"{""type"":""Polygon"",""coordinates"":[[[34.08823013,0.30508387],[34.08823013,0.48242107],[34.26182175,0.48242107],[34.26182175,0.30508387],[34.08823013,0.30508387]]]}","{""type"":""Point"",""coordinates"":[34.1675134929346,0.408738807154319]}",196264686.9,19494.09475,KEN,34.16751349,0.408738807
436,101,2270,2017-0205-KEN,2017,205,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Coastal, Central, Northeastern, Western regions; Mombasa, Kwale, Taveta, Dadaab camp",0.408738807,34.16751349,Heavy rainfall,,55028,Km2,,2017,5,8,08/05/2017,2017,5,16,16/05/2017,26,0,25000,1,51325;51326;51329;51332,,Western,20611,KEN,Kenya,KEN.4_1,Busia,,KEN.4.4_1,Matayos,,,Constituency,Constituency,228,,"{""type"":""Polygon"",""coordinates"":[[[34.08823013,0.30508387],[34.08823013,0.48242107],[34.26182175,0.48242107],[34.26182175,0.30508387],[34.08823013,0.30508387]]]}","{""type"":""Point"",""coordinates"":[34.1675134929346,0.408738807154319]}",196264686.9,19494.09475,KEN,34.16751349,0.408738807
437,102,2718,2021-0256-KEN,2021,256,FL-2021-000038,Natural,Hydrological,Flood,,Kenya,KEN,Eastern Africa,"Narok, Siaya, Nairobi, Garissa, Elgeyo-Marakwet, Kisumu, Migori Busia, Homa Bay ",0.408738807,34.16751349,Heavy rains,,0,Km2,"Endau, River Kipsangui, Tana rivers",2021,5,13,13/05/2021,2021,5,24,24/05/2021,9,0,50000,1,51328;51332,,Western,20611,KEN,Kenya,KEN.4_1,Busia,,KEN.4.4_1,Matayos,,,Constituency,Constituency,228,,"{""type"":""Polygon"",""coordinates"":[[[34.08823013,0.30508387],[34.08823013,0.48242107],[34.26182175,0.48242107],[34.26182175,0.30508387],[34.08823013,0.30508387]]]}","{""type"":""Point"",""coordinates"":[34.1675134929346,0.408738807154319]}",196264686.9,19494.09475,KEN,34.16751349,0.408738807
438,1538,1009,2005-0526-KEN,2005,526,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Bukhay, Walwasi areas (Busia district, Western province)",0.408738807,34.16751349,Heavy rain,,3520,Km2,,2005,6,17,17/06/2005,2005,6,20,20/06/2005,20,0,1200,2,,51396,Busia (Adm2). ,20611,KEN,Kenya,KEN.4_1,Busia,,KEN.4.4_1,Matayos,,,Constituency,Constituency,228,,"{""type"":""Polygon"",""coordinates"":[[[34.08823013,0.30508387],[34.08823013,0.48242107],[34.26182175,0.48242107],[34.26182175,0.30508387],[34.08823013,0.30508387]]]}","{""type"":""Point"",""coordinates"":[34.1675134929346,0.408738807154319]}",196264686.9,19494.09475,KEN,34.16751349,0.408738807
439,1539,1373,2007-0408-KEN,2007,408,FL-2007-000138,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,Busia district (Western province),0.408738807,34.16751349,heavy rain,,53520,Km2,"Kenya-Nzoia, Sabwani, Malakisi, Malaba",2007,8,15,15/08/2007,2007,10,31,31/10/2007,13,0,40000,2,,51396,Busia (Adm2). ,20611,KEN,Kenya,KEN.4_1,Busia,,KEN.4.4_1,Matayos,,,Constituency,Constituency,228,,"{""type"":""Polygon"",""coordinates"":[[[34.08823013,0.30508387],[34.08823013,0.48242107],[34.26182175,0.48242107],[34.26182175,0.30508387],[34.08823013,0.30508387]]]}","{""type"":""Point"",""coordinates"":[34.1675134929346,0.408738807154319]}",196264686.9,19494.09475,KEN,34.16751349,0.408738807
