,disaster_type,country,disaster_id,adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,location,people_dead,people_injured,people_displaced,people_affected,house_destroyed,house_damaged,household_displaced,household_affected,livestock_lost,livestock_affected,lost_crops_ha,road,bridge,school,sewerage_latrine,aqueduct,wall,hospital_health_center,drainage,institution_church_mosque,industry,energy,communication,agriculture,date_event,start_date_event,end_date_event,date_recorded,data_source,data_source_other,data_source_url,comments,data_quality_score,event_start_date,event_end_date,event_date
0,flood,,,,,,,,,"Nyanza, Western Regions",,,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,,,1964-05-01 00:00:00,1964-05-31 00:00:00,1964-05-16 00:00:00
1,flood,,,,,,,,,"Nyanza, West provinces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,,,1968-05-01 00:00:00,1968-05-31 00:00:00,1968-05-16 00:00:00
2,flood,,,,,,,,,,,,,16000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,,,,,
3,flood,,,,,,,,,,100.0,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,,,1977-05-01 00:00:00,1977-05-31 00:00:00,1977-05-16 00:00:00
4,flood,,,,,,,,,Near Lake Victoria,75.0,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Flash flood,,1982-10-01 00:00:00,1982-10-31 00:00:00,1982-10-16 00:00:00
5,flood,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,1990-04-14 00:00:00,1990-04-15 00:00:00,1990-04-14 12:00:00
6,flood,,,,,,,,,Nyanza province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,1996-04-06 00:00:00,1996-04-11 00:00:00,1996-04-08 12:00:00
7,flood,,,,,,,,,"Kwale, Kilifi, Mombasa, Malindi, Tana River districts (Coast province), Garissa, Mandea, Wajir districts (Northeastern province), Moyale, Marsabit districts (Eastern province)",86.0,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,,,1997-09-01 00:00:00,1997-09-30 00:00:00,1997-09-15 12:00:00
8,flood,,,,,,,,,Lac Victoria,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,,,1998-05-01 00:00:00,1998-05-31 00:00:00,1998-05-16 00:00:00
9,flood,,,,,,,,,Nairobi district (Nairobi province),4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2001-01-13 00:00:00,2001-01-14 00:00:00,2001-01-13 12:00:00
10,flood,,,,,,,,,"Migori, Kisumu, Nyando, Rachuonyo districts (Nyanza province), Kirinyaga, Muranga, Thika districts (Central province), Busia districts (Western province), Ijara district (North Eastern province)",53.0,8.0,,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2002-04-26 00:00:00,2002-05-28 00:00:00,2002-05-12 00:00:00
11,flood,,,,,,,,,Kiambu district (Central province),12.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Flash flood,,2002-11-17 00:00:00,2002-11-20 00:00:00,2002-11-18 12:00:00
12,flood,,,,,,,,,"Madogo area (Tana River district, Coast province), Kinango area (Kwale district, Coast province)",14.0,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2002-10-29 00:00:00,2002-11-04 00:00:00,2002-11-01 00:00:00
13,flood,,,,,,,,,"Marigat area (Baringo district, Rift Valley province)",6.0,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2002-12-21 00:00:00,2002-12-23 00:00:00,2002-12-22 00:00:00
14,flood,,,,,,,,,"Nyando, Kisumu, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province)",40.0,,,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2003-04-01 00:00:00,2003-05-31 00:00:00,2003-05-01 00:00:00
15,flood,,,,,,,,,Kisumu district (Nyanza province),,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2003-01-04 00:00:00,2003-01-06 00:00:00,2003-01-05 00:00:00
16,flood,,,,,,,,,"Nairobi district (Nairobi province), Tana River, Taita Taveta districts (Coast province), Nakuru, Baringo, Turkana, Marakwet districts (Rift Valley province), Machakos district (Eastern province), Nyamira, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay districts (Nyanza province) ",50.0,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2004-04-09 00:00:00,2004-05-11 00:00:00,2004-04-25 00:00:00
17,flood,,,,,,,,,"Nyando district (Nyanza province), Busia district (Western province)",4.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Flash flood,,2004-04-09 00:00:00,2004-04-12 00:00:00,2004-04-10 12:00:00
18,flood,,,,,,,,,"Isiolo district (Eastern province), Garissa district (North Eastern province), Western, Nyanza provinces",1.0,,,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Flash flood,,2005-04-23 00:00:00,2005-04-26 00:00:00,2005-04-24 12:00:00
19,flood,,,,,,,,,"Dadaab town (Garissa district, North Eastern province), Rift Valley, Western provinces",5.0,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Flash flood,,2005-05-18 00:00:00,2005-05-24 00:00:00,2005-05-21 00:00:00
20,flood,,,,,,,,,"Bukhay, Walwasi areas (Busia district, Western province)",20.0,,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2005-06-17 00:00:00,2005-06-20 00:00:00,2005-06-18 12:00:00
21,flood,,,,,,,,,"Isiolo, Moyale districts (Eastern province), Nairobi districts (Nairobi province)",60.0,,,17300.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2006-04-04 00:00:00,2006-05-22 00:00:00,2006-04-28 00:00:00
22,flood,,,,,,,,,"Nyanza, Coast, Western provinces",8.0,,,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2006-04-25 00:00:00,2006-05-04 00:00:00,2006-04-29 12:00:00
23,flood,,,,,,,,,"Moyale, Isiolo districts (Eastern province), Mandera, Garissa, Wajir districts (North Eastern province), Turkana district (Rift Valley province), Kwale, Mombasa districts (Coast province)",30.0,,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2006-10-15 00:00:00,2006-10-26 00:00:00,2006-10-20 12:00:00
24,flood,,,,,,,,,"Garissa, Ijara, Wajir, Mandera districts (North Eastern province), Kilifi, Tana River, Kwale districts (Coast province), Moyale, Isiolo districts (Eastern province), Busia district (Western province), Turkana district (Rift Valley province), Kisumu district (Nyanza province)",114.0,,,723000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2006-10-23 00:00:00,2006-12-19 00:00:00,2006-11-20 12:00:00
25,flood,,,,,,,,,Taita Taveta district (Coast province),4.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2007-12-12 00:00:00,2007-12-15 00:00:00,2007-12-13 12:00:00
26,flood,,,,,,,,,Busia district (Western province),13.0,,,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2007-08-15 00:00:00,2007-10-31 00:00:00,2007-09-22 12:00:00
27,flood,,,,,,,,,"Mombasa, Malindi, Kwale, Kilifi, Lamu districts (Coast provinces)",2.0,1.0,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2007-05-15 00:00:00,2007-06-11 00:00:00,2007-05-28 12:00:00
28,flood,,,,,,,,,"Busia district (Western province), Mandera, Garissa, Wajir districts (North Western province), Marakwet, Trans Nzoia districts (Rift Valley province), Tana River district (Coast province), Migori, Nyando districts (Nyanza province)",17.0,,,30770.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Riverine flood,,2008-11-10 00:00:00,2008-11-25 00:00:00,2008-11-17 12:00:00
29,flood,,,,,,,,,Mandera district (North Eastern province),3.0,,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,EM_DAT,,https://www.emdat.be/,Flash flood,,2008-10-14 00:00:00,2008-10-16 00:00:00,2008-10-15 00:00:00
