,disaster_type,comments,location,people_dead,people_injured,people_affected,event_start_date,event_end_date,event_date,data_source,data_source_url
0,flood,,"Nyanza, Western Regions",,,15000.0,1964-05-01 00:00:00,1964-05-31 00:00:00,1964-05-16 00:00:00,EM_DAT,https://www.emdat.be/
1,flood,,"Nyanza, West provinces",,,,1968-05-01 00:00:00,1968-05-31 00:00:00,1968-05-16 00:00:00,EM_DAT,https://www.emdat.be/
2,flood,,,,,16000.0,,,,EM_DAT,https://www.emdat.be/
3,flood,,,100.0,,20000.0,1977-05-01 00:00:00,1977-05-31 00:00:00,1977-05-16 00:00:00,EM_DAT,https://www.emdat.be/
4,flood,Flash flood,Near Lake Victoria,75.0,,3000.0,1982-10-01 00:00:00,1982-10-31 00:00:00,1982-10-16 00:00:00,EM_DAT,https://www.emdat.be/
5,flood,Riverine flood,,44.0,,,1990-04-14 00:00:00,1990-04-15 00:00:00,1990-04-14 12:00:00,EM_DAT,https://www.emdat.be/
6,flood,Riverine flood,Nyanza province,,,,1996-04-06 00:00:00,1996-04-11 00:00:00,1996-04-08 12:00:00,EM_DAT,https://www.emdat.be/
7,flood,,"Kwale, Kilifi, Mombasa, Malindi, Tana River districts (Coast province), Garissa, Mandea, Wajir districts (Northeastern province), Moyale, Marsabit districts (Eastern province)",86.0,,900000.0,1997-09-01 00:00:00,1997-09-30 00:00:00,1997-09-15 12:00:00,EM_DAT,https://www.emdat.be/
8,flood,,Lac Victoria,40.0,,,1998-05-01 00:00:00,1998-05-31 00:00:00,1998-05-16 00:00:00,EM_DAT,https://www.emdat.be/
9,flood,Riverine flood,Nairobi district (Nairobi province),4.0,,,2001-01-13 00:00:00,2001-01-14 00:00:00,2001-01-13 12:00:00,EM_DAT,https://www.emdat.be/
10,flood,Riverine flood,"Migori, Kisumu, Nyando, Rachuonyo districts (Nyanza province), Kirinyaga, Muranga, Thika districts (Central province), Busia districts (Western province), Ijara district (North Eastern province)",53.0,8.0,150000.0,2002-04-26 00:00:00,2002-05-28 00:00:00,2002-05-12 00:00:00,EM_DAT,https://www.emdat.be/
11,flood,Flash flood,Kiambu district (Central province),12.0,,2000.0,2002-11-17 00:00:00,2002-11-20 00:00:00,2002-11-18 12:00:00,EM_DAT,https://www.emdat.be/
12,flood,Riverine flood,"Madogo area (Tana River district, Coast province), Kinango area (Kwale district, Coast province)",14.0,,20000.0,2002-10-29 00:00:00,2002-11-04 00:00:00,2002-11-01 00:00:00,EM_DAT,https://www.emdat.be/
13,flood,Riverine flood,"Marigat area (Baringo district, Rift Valley province)",6.0,,3000.0,2002-12-21 00:00:00,2002-12-23 00:00:00,2002-12-22 00:00:00,EM_DAT,https://www.emdat.be/
14,flood,Riverine flood,"Nyando, Kisumu, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province)",40.0,,60000.0,2003-04-01 00:00:00,2003-05-31 00:00:00,2003-05-01 00:00:00,EM_DAT,https://www.emdat.be/
15,flood,Riverine flood,Kisumu district (Nyanza province),,,300.0,2003-01-04 00:00:00,2003-01-06 00:00:00,2003-01-05 00:00:00,EM_DAT,https://www.emdat.be/
16,flood,Riverine flood,"Nairobi district (Nairobi province), Tana River, Taita Taveta districts (Coast province), Nakuru, Baringo, Turkana, Marakwet districts (Rift Valley province), Machakos district (Eastern province), Nyamira, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay districts (Nyanza province) ",50.0,,10000.0,2004-04-09 00:00:00,2004-05-11 00:00:00,2004-04-25 00:00:00,EM_DAT,https://www.emdat.be/
17,flood,Flash flood,"Nyando district (Nyanza province), Busia district (Western province)",4.0,,2000.0,2004-04-09 00:00:00,2004-04-12 00:00:00,2004-04-10 12:00:00,EM_DAT,https://www.emdat.be/
